epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50036,1.52083,2.94568,1.34655,0.00796,0.70968,0.18843,0.15164,0.91974,2.87884,0.91222,8e-05,8e-05,8e-05
2,6.58757,1.40652,2.69515,1.34828,0.00839,0.74194,0.24341,0.1813,1.05901,2.89299,0.9375,0.0001206,0.0001206,0.0001206
3,9.50899,1.25478,2.42371,1.19331,0.00799,0.70968,0.27068,0.20823,1.08768,2.86433,0.94057,9.52e-05,9.52e-05,9.52e-05
