epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68486,1.359,2.80625,1.30147,0.008,0.77419,0.30071,0.26369,0.89338,2.92255,0.97671,8e-05,8e-05,8e-05
2,10.9288,1.36808,2.63395,1.23011,0.008,0.77419,0.31952,0.27113,0.93001,2.8865,0.98978,0.0001206,0.0001206,0.0001206
3,15.7589,1.30034,2.26328,1.25336,0.008,0.77419,0.32275,0.27282,0.91275,2.86848,0.97948,9.52e-05,9.52e-05,9.52e-05
